Camp Name,Camp Name,Park Name,Park Code,Amenities
34,Barry's Landing & Trail Creek Campground,Bighorn Canyon,bica,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
35,Bartlett Cove Campground,Glacier Bay,glba,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'Yes - seasonal', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - year round'}"
36,Bay Campground - South Manitou Island,Sleeping Bear Dunes,slbe,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
37,Bayside Drive-in Campground,Assateague Island Ns,asis,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['Cold- Seasonal', 'Free - Seasonal'], 'cellPhoneReception': 'Yes - year round', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'Yes - year round', 'campStore': 'Yes - seasonal', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - year round'], 'iceAvailableForSale': 'Yes - seasonal', 'firewoodForSale': 'Yes - seasonal', 'foodStorageLockers': 'No'}"
38,Bear Creek Horse Camp,Big South Fork,biso,"{'trashRecyclingCollection': 'Yes - seasonal', 'toilets': ['Flush Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['Hot - Seasonal'], 'cellPhoneReception': 'Yes - seasonal', 'laundry': 'No', 'amphitheater': 'Yes - seasonal', 'dumpStation': 'Yes - seasonal', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'Yes - seasonal', 'potableWater': ['Yes - seasonal'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
39,Bear Island Campground,Big Cypress,bicy,"{'trashRecyclingCollection': '', 'toilets': [], 'internetConnectivity': '', 'showers': [], 'cellPhoneReception': '', 'laundry': '', 'amphitheater': '', 'dumpStation': '', 'campStore': '', 'staffOrVolunteerHostOnsite': '', 'potableWater': [], 'iceAvailableForSale': '', 'firewoodForSale': '', 'foodStorageLockers': ''}"
40,Beaver Creek Individual Backpacking Sites,Pictured Rocks,piro,"{'trashRecyclingCollection': 'No', 'toilets': ['Vault Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'Yes - seasonal'}"
41,Beaver Island Campground,Isle Royale,isro,"{'trashRecyclingCollection': 'No', 'toilets': ['Composting Toilets - seasonal'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['Water', ' but not potable'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
42,Beehives Campground,Glen Canyon,glca,"{'trashRecyclingCollection': 'No', 'toilets': ['No Toilets'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
43,Belle Campground,Joshua Tree,jotr,"{'trashRecyclingCollection': 'Yes - year round', 'toilets': ['Vault Toilets - year round'], 'internetConnectivity': 'No', 'showers': ['None'], 'cellPhoneReception': 'No', 'laundry': 'No', 'amphitheater': 'No', 'dumpStation': 'No', 'campStore': 'No', 'staffOrVolunteerHostOnsite': 'No', 'potableWater': ['No water'], 'iceAvailableForSale': 'No', 'firewoodForSale': 'No', 'foodStorageLockers': 'No'}"
